product_id,category,brand,product_name,base_price
1001,beverage,brand_a,product_1001,35.00
1002,snack,brand_b,product_1002,52.00
1003,personal_care,brand_c,product_1003,69.00
1004,household,brand_d,product_1004,71.00
1005,dairy,brand_a,product_1005,88.00
1006,beverage,brand_b,product_1006,105.00
1007,snack,brand_c,product_1007,107.00
1008,personal_care,brand_d,product_1008,124.00
1009,household,brand_a,product_1009,141.00
1010,dairy,brand_b,product_1010,143.00
1011,beverage,brand_c,product_1011,40.00
1012,snack,brand_d,product_1012,57.00
1013,personal_care,brand_a,product_1013,59.00
1014,household,brand_b,product_1014,76.00
1015,dairy,brand_c,product_1015,93.00
1016,beverage,brand_d,product_1016,95.00
1017,snack,brand_a,product_1017,112.00
1018,personal_care,brand_b,product_1018,129.00
1019,household,brand_c,product_1019,131.00
1020,dairy,brand_d,product_1020,148.00
1021,beverage,brand_a,product_1021,45.00
1022,snack,brand_b,product_1022,47.00
1023,personal_care,brand_c,product_1023,64.00
1024,household,brand_d,product_1024,81.00
1025,dairy,brand_a,product_1025,83.00
1026,beverage,brand_b,product_1026,100.00
1027,snack,brand_c,product_1027,117.00
1028,personal_care,brand_d,product_1028,119.00
1029,household,brand_a,product_1029,136.00
1030,dairy,brand_b,product_1030,153.00
1031,beverage,brand_c,product_1031,35.00
1032,snack,brand_d,product_1032,52.00
1033,personal_care,brand_a,product_1033,69.00
1034,household,brand_b,product_1034,71.00
1035,dairy,brand_c,product_1035,88.00
1036,beverage,brand_d,product_1036,105.00
1037,snack,brand_a,product_1037,107.00
1038,personal_care,brand_b,product_1038,124.00
1039,household,brand_c,product_1039,141.00
1040,dairy,brand_d,product_1040,143.00
1041,beverage,brand_a,product_1041,40.00
1042,snack,brand_b,product_1042,57.00
1043,personal_care,brand_c,product_1043,59.00
1044,household,brand_d,product_1044,76.00
1045,dairy,brand_a,product_1045,93.00
1046,beverage,brand_b,product_1046,95.00
1047,snack,brand_c,product_1047,112.00
1048,personal_care,brand_d,product_1048,129.00
1049,household,brand_a,product_1049,131.00
1050,dairy,brand_b,product_1050,148.00
1051,beverage,brand_c,product_1051,45.00
1052,snack,brand_d,product_1052,47.00
1053,personal_care,brand_a,product_1053,64.00
1054,household,brand_b,product_1054,81.00
1055,dairy,brand_c,product_1055,83.00
1056,beverage,brand_d,product_1056,100.00
1057,snack,brand_a,product_1057,117.00
1058,personal_care,brand_b,product_1058,119.00
1059,household,brand_c,product_1059,136.00
1060,dairy,brand_d,product_1060,153.00
