order_line_id,order_id,product_id,quantity,unit_price,line_amount
10011,1001,1021,3,45.00,135.00
10021,1002,1034,1,71.00,71.00
10031,1003,1047,2,112.00,224.00
10041,1004,1060,3,153.00,459.00
10051,1005,1013,1,59.00,59.00
10061,1006,1026,2,100.00,200.00
10071,1007,1039,3,141.00,423.00
10081,1008,1052,1,47.00,47.00
10091,1009,1005,2,88.00,176.00
10101,1010,1018,3,129.00,387.00
10111,1011,1031,1,35.00,35.00
10121,1012,1044,2,76.00,152.00
10131,1013,1057,3,117.00,351.00
10141,1014,1010,1,143.00,143.00
10151,1015,1023,2,64.00,128.00
10161,1016,1036,3,105.00,315.00
10171,1017,1049,1,131.00,131.00
10181,1018,1002,2,52.00,104.00
10191,1019,1015,3,93.00,279.00
10201,1020,1028,1,119.00,119.00
10211,1021,1041,2,40.00,80.00
10221,1022,1054,3,81.00,243.00
10231,1023,1007,1,107.00,107.00
10241,1024,1020,2,148.00,296.00
10251,1025,1033,3,69.00,207.00
10261,1026,1046,1,95.00,95.00
10271,1027,1059,2,136.00,272.00
10281,1028,1012,3,57.00,171.00
10291,1029,1025,1,83.00,83.00
10301,1030,1038,2,124.00,248.00
10311,1031,1051,3,45.00,135.00
10321,1032,1004,1,71.00,71.00
10331,1033,1017,2,112.00,224.00
10341,1034,1030,3,153.00,459.00
10351,1035,1043,1,59.00,59.00
10361,1036,1056,2,100.00,200.00
10371,1037,1009,3,141.00,423.00
10381,1038,1022,1,47.00,47.00
10391,1039,1035,2,88.00,176.00
10401,1040,1048,3,129.00,387.00
10411,1041,1001,1,35.00,35.00
10421,1042,1014,2,76.00,152.00
10431,1043,1027,3,117.00,351.00
10441,1044,1040,1,143.00,143.00
10451,1045,1053,2,64.00,128.00
10461,1046,1006,3,105.00,315.00
10471,1047,1019,1,131.00,131.00
10481,1048,1032,2,52.00,104.00
10491,1049,1045,3,93.00,279.00
10501,1050,1058,1,119.00,119.00
10511,1051,1011,2,40.00,80.00
10521,1052,1024,3,81.00,243.00
10531,1053,1037,1,107.00,107.00
10541,1054,1050,2,148.00,296.00
10551,1055,1003,3,69.00,207.00
10561,1056,1016,1,95.00,95.00
10571,1057,1029,2,136.00,272.00
10581,1058,1042,3,57.00,171.00
10591,1059,1055,1,83.00,83.00
10601,1060,1008,2,124.00,248.00
10611,1061,1021,3,45.00,135.00
10621,1062,1034,1,71.00,71.00
10631,1063,1047,2,112.00,224.00
10641,1064,1060,3,153.00,459.00
10651,1065,1013,1,59.00,59.00
10661,1066,1026,2,100.00,200.00
10671,1067,1039,3,141.00,423.00
10681,1068,1052,1,47.00,47.00
10691,1069,1005,2,88.00,176.00
10701,1070,1018,3,129.00,387.00
10711,1071,1031,1,35.00,35.00
10721,1072,1044,2,76.00,152.00
10731,1073,1057,3,117.00,351.00
10741,1074,1010,1,143.00,143.00
10751,1075,1023,2,64.00,128.00
10761,1076,1036,3,105.00,315.00
10771,1077,1049,1,131.00,131.00
10781,1078,1002,2,52.00,104.00
10791,1079,1015,3,93.00,279.00
10801,1080,1028,1,119.00,119.00
10811,1081,1041,2,40.00,80.00
10821,1082,1054,3,81.00,243.00
10831,1083,1007,1,107.00,107.00
10841,1084,1020,2,148.00,296.00
10851,1085,1033,3,69.00,207.00
10861,1086,1046,1,95.00,95.00
10871,1087,1059,2,136.00,272.00
10881,1088,1012,3,57.00,171.00
10891,1089,1025,1,83.00,83.00
10901,1090,1038,2,124.00,248.00
10911,1091,1051,3,45.00,135.00
10921,1092,1004,1,71.00,71.00
10931,1093,1017,2,112.00,224.00
10941,1094,1030,3,153.00,459.00
10951,1095,1043,1,59.00,59.00
10961,1096,1056,2,100.00,200.00
10971,1097,1009,3,141.00,423.00
10981,1098,1022,1,47.00,47.00
10991,1099,1035,2,88.00,176.00
11001,1100,1048,3,129.00,387.00
11011,1101,1001,1,35.00,35.00
11021,1102,1014,2,76.00,152.00
11031,1103,1027,3,117.00,351.00
11041,1104,1040,1,143.00,143.00
11051,1105,1053,2,64.00,128.00
11061,1106,1006,3,105.00,315.00
11071,1107,1019,1,131.00,131.00
11081,1108,1032,2,52.00,104.00
11091,1109,1045,3,93.00,279.00
11101,1110,1058,1,119.00,119.00
11111,1111,1011,2,40.00,80.00
11121,1112,1024,3,81.00,243.00
11131,1113,1037,1,107.00,107.00
11141,1114,1050,2,148.00,296.00
11151,1115,1003,3,69.00,207.00
11161,1116,1016,1,95.00,95.00
11171,1117,1029,2,136.00,272.00
11181,1118,1042,3,57.00,171.00
11191,1119,1055,1,83.00,83.00
11201,1120,1008,2,124.00,248.00
11211,1121,1021,3,45.00,135.00
11221,1122,1034,1,71.00,71.00
11231,1123,1047,2,112.00,224.00
11241,1124,1060,3,153.00,459.00
11251,1125,1013,1,59.00,59.00
11261,1126,1026,2,100.00,200.00
11271,1127,1039,3,141.00,423.00
11281,1128,1052,1,47.00,47.00
11291,1129,1005,2,88.00,176.00
11301,1130,1018,3,129.00,387.00
11311,1131,1031,1,35.00,35.00
11321,1132,1044,2,76.00,152.00
11331,1133,1057,3,117.00,351.00
11341,1134,1010,1,143.00,143.00
11351,1135,1023,2,64.00,128.00
11361,1136,1036,3,105.00,315.00
11371,1137,1049,1,131.00,131.00
11381,1138,1002,2,52.00,104.00
11391,1139,1015,3,93.00,279.00
11401,1140,1028,1,119.00,119.00
11411,1141,1041,2,40.00,80.00
11421,1142,1054,3,81.00,243.00
11431,1143,1007,1,107.00,107.00
11441,1144,1020,2,148.00,296.00
11451,1145,1033,3,69.00,207.00
11461,1146,1046,1,95.00,95.00
11471,1147,1059,2,136.00,272.00
11481,1148,1012,3,57.00,171.00
11491,1149,1025,1,83.00,83.00
11501,1150,1038,2,124.00,248.00
11511,1151,1051,3,45.00,135.00
11521,1152,1004,1,71.00,71.00
11531,1153,1017,2,112.00,224.00
11541,1154,1030,3,153.00,459.00
11551,1155,1043,1,59.00,59.00
11561,1156,1056,2,100.00,200.00
11571,1157,1009,3,141.00,423.00
11581,1158,1022,1,47.00,47.00
11591,1159,1035,2,88.00,176.00
11601,1160,1048,3,129.00,387.00
11611,1161,1001,1,35.00,35.00
11621,1162,1014,2,76.00,152.00
11631,1163,1027,3,117.00,351.00
11641,1164,1040,1,143.00,143.00
11651,1165,1053,2,64.00,128.00
11661,1166,1006,3,105.00,315.00
11671,1167,1019,1,131.00,131.00
11681,1168,1032,2,52.00,104.00
11691,1169,1045,3,93.00,279.00
11701,1170,1058,1,119.00,119.00
11711,1171,1011,2,40.00,80.00
11721,1172,1024,3,81.00,243.00
11731,1173,1037,1,107.00,107.00
11741,1174,1050,2,148.00,296.00
11751,1175,1003,3,69.00,207.00
11761,1176,1016,1,95.00,95.00
11771,1177,1029,2,136.00,272.00
11781,1178,1042,3,57.00,171.00
11791,1179,1055,1,83.00,83.00
11801,1180,1008,2,124.00,248.00
11811,1181,1021,3,45.00,135.00
11821,1182,1034,1,71.00,71.00
11831,1183,1047,2,112.00,224.00
11841,1184,1060,3,153.00,459.00
11851,1185,1013,1,59.00,59.00
11861,1186,1026,2,100.00,200.00
11871,1187,1039,3,141.00,423.00
11881,1188,1052,1,47.00,47.00
11891,1189,1005,2,88.00,176.00
11901,1190,1018,3,129.00,387.00
11911,1191,1031,1,35.00,35.00
11921,1192,1044,2,76.00,152.00
11931,1193,1057,3,117.00,351.00
11941,1194,1010,1,143.00,143.00
11951,1195,1023,2,64.00,128.00
11961,1196,1036,3,105.00,315.00
11971,1197,1049,1,131.00,131.00
11981,1198,1002,2,52.00,104.00
11991,1199,1015,3,93.00,279.00
12001,1200,1028,1,119.00,119.00
12011,1201,1041,2,40.00,80.00
12021,1202,1054,3,81.00,243.00
