order_id,customer_id,store_id,order_date,order_amount,order_status
1001,1,101,2024-01-01,601.00,cancelled
1002,2,102,2024-01-02,538.00,completed
1003,3,103,2024-01-03,467.00,completed
1004,4,104,2024-01-04,459.00,completed
1005,5,105,2024-01-05,777.00,completed
1006,6,106,2024-01-06,550.00,completed
1007,7,107,2024-01-07,518.00,pending
1008,8,108,2024-01-08,47.00,completed
1009,9,109,2024-01-09,678.00,completed
1010,10,110,2024-01-10,574.00,completed
1011,11,111,2024-01-11,283.00,completed
1012,12,112,2024-01-12,152.00,completed
1013,13,101,2024-01-13,889.00,completed
1014,14,102,2024-01-14,610.00,pending
1015,15,103,2024-01-15,587.00,completed
1016,16,104,2024-01-16,315.00,completed
1017,17,105,2024-01-17,681.00,cancelled
1018,18,106,2024-01-18,622.00,cancelled
1019,19,107,2024-01-19,326.00,completed
1020,20,108,2024-01-20,119.00,completed
1021,21,109,2024-01-21,654.00,pending
1022,22,110,2024-01-22,526.00,completed
1023,23,111,2024-01-23,259.00,completed
1024,24,112,2024-01-24,296.00,completed
1025,25,101,2024-01-25,817.00,completed
1026,26,102,2024-01-26,682.00,completed
1027,27,103,2024-01-27,587.00,completed
1028,28,104,2024-01-28,171.00,pending
1029,29,105,2024-01-29,705.00,completed
1030,30,106,2024-01-30,574.00,completed
1031,31,107,2024-01-31,254.00,completed
1032,32,108,2024-02-01,71.00,completed
1033,33,109,2024-02-02,750.00,completed
1034,34,110,2024-02-03,718.00,cancelled
1035,35,111,2024-02-04,355.00,cancelled
1036,36,112,2024-02-05,200.00,completed
1037,37,101,2024-02-06,1105.00,completed
1038,38,102,2024-02-07,634.00,completed
1039,39,103,2024-02-08,347.00,completed
1040,40,104,2024-02-09,387.00,completed
1041,41,105,2024-02-10,609.00,completed
1042,42,106,2024-02-11,406.00,pending
1043,43,107,2024-02-12,422.00,completed
1044,44,108,2024-02-13,143.00,completed
1045,45,109,2024-02-14,846.00,completed
1046,46,110,2024-02-15,670.00,completed
1047,47,111,2024-02-16,331.00,completed
1048,48,112,2024-02-17,104.00,completed
1049,49,101,2024-02-18,913.00,pending
1050,50,102,2024-02-19,466.00,completed
1051,51,103,2024-02-20,467.00,cancelled
1052,52,104,2024-02-21,243.00,cancelled
1053,53,105,2024-02-22,513.00,completed
1054,54,106,2024-02-23,718.00,completed
1055,55,107,2024-02-24,350.00,completed
1056,56,108,2024-02-25,95.00,pending
1057,57,109,2024-02-26,942.00,completed
1058,58,110,2024-02-27,502.00,completed
1059,59,111,2024-02-28,187.00,completed
1060,60,112,2024-02-29,248.00,completed
1061,61,101,2024-03-01,601.00,completed
1062,62,102,2024-03-02,538.00,completed
1063,63,103,2024-03-03,467.00,pending
1064,64,104,2024-03-04,459.00,completed
1065,65,105,2024-03-05,777.00,completed
1066,66,106,2024-03-06,550.00,completed
1067,67,107,2024-03-07,518.00,completed
1068,68,108,2024-03-08,47.00,cancelled
1069,69,109,2024-03-09,678.00,cancelled
1070,70,110,2024-03-10,574.00,pending
1071,71,111,2024-03-11,283.00,completed
1072,72,112,2024-03-12,152.00,completed
1073,73,101,2024-03-13,889.00,completed
1074,74,102,2024-03-14,610.00,completed
1075,75,103,2024-03-15,587.00,completed
1076,76,104,2024-03-16,315.00,completed
1077,77,105,2024-03-17,681.00,pending
1078,78,106,2024-03-18,622.00,completed
1079,79,107,2024-03-19,326.00,completed
1080,80,108,2024-03-20,119.00,completed
1081,81,109,2024-03-21,654.00,completed
1082,82,110,2024-03-22,526.00,completed
1083,83,111,2024-03-23,259.00,completed
1084,84,112,2024-03-24,296.00,pending
1085,85,101,2024-03-25,817.00,cancelled
1086,86,102,2024-03-26,682.00,cancelled
1087,87,103,2024-03-27,587.00,completed
1088,88,104,2024-03-28,171.00,completed
1089,89,105,2024-03-29,705.00,completed
1090,90,106,2024-03-30,574.00,completed
1091,91,107,2024-03-31,254.00,pending
1092,92,108,2024-04-01,71.00,completed
1093,93,109,2024-04-02,750.00,completed
1094,94,110,2024-04-03,718.00,completed
1095,95,111,2024-04-04,355.00,completed
1096,96,112,2024-04-05,200.00,completed
1097,97,101,2024-04-06,1105.00,completed
1098,98,102,2024-04-07,634.00,pending
1099,99,103,2024-04-08,347.00,completed
1100,100,104,2024-04-09,387.00,completed
1101,101,105,2024-04-10,609.00,completed
1102,102,106,2024-04-11,406.00,cancelled
1103,103,107,2024-04-12,422.00,cancelled
1104,104,108,2024-04-13,143.00,completed
1105,105,109,2024-04-14,846.00,pending
1106,106,110,2024-04-15,670.00,completed
1107,107,111,2024-04-16,331.00,completed
1108,108,112,2024-04-17,104.00,completed
1109,109,101,2024-04-18,913.00,completed
1110,110,102,2024-04-19,466.00,completed
1111,111,103,2024-04-20,467.00,completed
1112,112,104,2024-04-21,243.00,pending
1113,113,105,2024-04-22,513.00,completed
1114,114,106,2024-04-23,718.00,completed
1115,115,107,2024-04-24,350.00,completed
1116,116,108,2024-04-25,95.00,completed
1117,117,109,2024-04-26,942.00,completed
1118,118,110,2024-04-27,502.00,completed
1119,119,111,2024-04-28,187.00,cancelled
1120,120,112,2024-04-29,248.00,cancelled
1121,1,101,2024-01-01,601.00,completed
1122,2,102,2024-01-02,538.00,completed
1123,3,103,2024-01-03,467.00,completed
1124,4,104,2024-01-04,459.00,completed
1125,5,105,2024-01-05,777.00,completed
1126,6,106,2024-01-06,550.00,pending
1127,7,107,2024-01-07,518.00,completed
1128,8,108,2024-01-08,47.00,completed
1129,9,109,2024-01-09,678.00,completed
1130,10,110,2024-01-10,574.00,completed
1131,11,111,2024-01-11,283.00,completed
1132,12,112,2024-01-12,152.00,completed
1133,13,101,2024-01-13,889.00,pending
1134,14,102,2024-01-14,610.00,completed
1135,15,103,2024-01-15,587.00,completed
1136,16,104,2024-01-16,315.00,cancelled
1137,17,105,2024-01-17,681.00,cancelled
1138,18,106,2024-01-18,622.00,completed
1139,19,107,2024-01-19,326.00,completed
1140,20,108,2024-01-20,119.00,pending
1141,21,109,2024-01-21,654.00,completed
1142,22,110,2024-01-22,526.00,completed
1143,23,111,2024-01-23,259.00,completed
1144,24,112,2024-01-24,296.00,completed
1145,25,101,2024-01-25,817.00,completed
1146,26,102,2024-01-26,682.00,completed
1147,27,103,2024-01-27,587.00,pending
1148,28,104,2024-01-28,171.00,completed
1149,29,105,2024-01-29,705.00,completed
1150,30,106,2024-01-30,574.00,completed
1151,31,107,2024-01-31,254.00,completed
1152,32,108,2024-02-01,71.00,completed
1153,33,109,2024-02-02,750.00,cancelled
1154,34,110,2024-02-03,718.00,cancelled
1155,35,111,2024-02-04,355.00,completed
1156,36,112,2024-02-05,200.00,completed
1157,37,101,2024-02-06,1105.00,completed
1158,38,102,2024-02-07,634.00,completed
1159,39,103,2024-02-08,347.00,completed
1160,40,104,2024-02-09,387.00,completed
